date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:01	253385/253385	U-----	200	untouched ('OK')	application/x-javascript	etag:%2280c6109e9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery-ui/1.12.0/jquery-ui.min.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.12.0/jquery-ui.min4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	4489/4489	U-----	200	untouched ('OK')	application/x-javascript	etag:%22804da4a19a3fd41:0%22	http://dev.web-cruit.com/images/js/web-cruit-bootstrap-modal/web-cruit-bootstrap-modal.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/web-cruit-bootstrap-modal/web-cruit-bootstrap-modal4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	37045/37045	U-----	200	untouched ('OK')	application/x-javascript	etag:%220116ea39a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/bootstrap-3.3.7-dist/js/bootstrap.min.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/bootstrap-3.3.7-dist/js/bootstrap.min4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	6384/6384	U-----	200	untouched ('OK')	application/x-javascript	etag:%22802073a09a3fd41:0%22	http://dev.web-cruit.com/images/js/web-cruit-bootstrap-pagination/web-cruit-bootstrap-pagination.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/web-cruit-bootstrap-pagination/web-cruit-bootstrap-pagination4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	466/466	U-----	200	untouched ('OK')	application/x-javascript	etag:%2262551e9e9a3fd41:0%22	http://dev.web-cruit.com/images/js/javascriptExtensions/wc-ext.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/javascriptExtensions/wc-ext4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	556/556	U-----	200	untouched ('OK')	application/x-javascript	etag:%22566169e9a3fd41:0%22	http://dev.web-cruit.com/images/js/fw1Helpers/fw1Helpers.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/fw1Helpers/fw1Helpers4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	109630/109630	U-----	200	untouched ('OK')	application/x-javascript	etag:%2280d27547a5bfd41:0%22	http://dev.web-cruit.com/images/js/bootstrap-table.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/bootstrap-table4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	400/400	U-----	200	untouched ('OK')	application/x-javascript	etag:%2258e2c956993fd41:0%22	http://dev.web-cruit.com/scripts/Javascript/cfAjaxProxyHelperFunctions.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/scripts/Javascript/cfAjaxProxyHelperFunctions4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	1178/1178	U-----	200	untouched ('OK')	application/x-javascript	etag:%225a1ad755993fd41:0%22	http://dev.web-cruit.com/scripts/Javascript/web-cruit-timer/web-cruit-timer.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/scripts/Javascript/web-cruit-timer/web-cruit-timer4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	2722/2722	U-----	200	untouched ('')	image/gif	etag:%227dd78db09a3fd41:0%22	http://dev.web-cruit.com/images/kaonixlogo2.gif	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/kaonixlogo2.gif	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:02	5320/5320	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:42:02%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.20.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:42:02	178/178	U-----	200	untouched ('')	image/png	etag:%2239bd4a9e9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:42:02	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:42:02%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.21.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:42:02	44130/44130	U-----	200	untouched ('')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/CV/tagmanager/tag%20manager/www.google-analytics.com/analytics.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:03	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:42:02%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.22.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:42:03	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:42:03%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.23.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:42:03	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:42:03%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.24.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:42:03	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:42:03%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.25.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
