date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.1a.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.1b.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.1c.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:38	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.1d.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:38	5294/5294	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_222222_256x240.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_222222_256x240.1e.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:38	5294/5294	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:38%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_888888_256x240.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_888888_256x240.1f.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:38	5294/5294	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:38%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_454545_256x240.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_454545_256x240.20.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:38	5294/5294	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:38%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_2e83ff_256x240.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_2e83ff_256x240.21.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:39	5294/5294	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:38%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_cd0a0a_256x240.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-icons_cd0a0a_256x240.22.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:39	5300/5300	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:38%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_flat_0_aaaaaa_40x100.23.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:39	807/807	---M--	200	added ('OK')	image/gif	etag:%22a6983da39a3fd41:0%22	http://dev.web-cruit.com/images/hr_line.gif	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/hr_line.gif	(from http://dev.web-cruit.com/images/css/web-cruit/wc.css?20190505184942)
10:40:40	5240/5240	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:39%20GMT	http://dev.web-cruit.com/tagmanager/Popover%20requires%20tooltip.js	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/Popover%20requires%20tooltip.25.delayed	(from http://dev.web-cruit.com/images/css/web-cruit/bootstrap-3.3.7-dist/js/bootstrap.min.js?20190505184942)
